,Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
50,Damian Lillard,MIL,PHI,W,38.3,9,19,0.474,6,12,0.5,6,7,0.857,3,6,9,6,0,0,3,1,30,24.6,2024-10-23
51,Brandon Ingram,NOP,CHI,W,31.47,13,23,0.565,3,5,0.6,4,4,1.0,2,5,7,2,2,1,3,4,33,24.5,2024-10-23
52,Giannis Antetokounmpo,MIL,PHI,W,31.2,8,11,0.727,0,0,0.0,9,16,0.563,1,13,14,7,0,1,3,4,25,23.3,2024-10-23
53,Pascal Siakam,IND,DET,W,31.97,8,15,0.533,1,3,0.333,2,3,0.667,3,5,8,9,2,0,0,0,19,23.2,2024-10-23
54,Walker Kessler,UTA,MEM,L,29.58,6,7,0.857,0,0,0.0,4,5,0.8,6,8,14,1,1,5,2,2,16,22.1,2024-10-23
55,Franz Wagner,ORL,MIA,W,23.1,10,16,0.625,3,6,0.5,0,0,0.0,1,3,4,4,2,1,0,3,23,21.7,2024-10-23
56,Stephen Curry,GSW,POR,W,25.07,4,10,0.4,3,7,0.429,6,6,1.0,0,9,9,10,2,0,2,0,17,21.3,2024-10-23
57,Cade Cunningham,DET,IND,L,36.53,10,23,0.435,2,6,0.333,6,6,1.0,0,5,5,8,1,0,2,2,28,21.2,2024-10-23
58,Ja Morant,MEM,UTA,W,27.93,7,12,0.583,0,2,0.0,8,9,0.889,0,5,5,10,1,0,3,4,22,20.9,2024-10-23
59,Santi Aldama,MEM,UTA,W,31.43,10,16,0.625,5,10,0.5,2,2,1.0,2,3,5,2,0,0,2,2,27,20.7,2024-10-23
60,Bradley Beal,PHO,LAC,W,38.47,8,12,0.667,4,6,0.667,4,5,0.8,0,3,3,1,1,1,2,1,24,19.3,2024-10-23
61,CJ McCollum,NOP,CHI,W,29.95,9,19,0.474,5,11,0.455,0,0,0.0,0,2,2,5,1,1,0,1,23,18.7,2024-10-23
62,Caris LeVert,CLE,TOR,W,20.63,8,9,0.889,2,2,1.0,1,2,0.5,0,1,1,4,0,0,0,1,19,18.2,2024-10-23
63,Nikola Vučević,CHI,NOP,L,30.7,8,12,0.667,1,2,0.5,4,5,0.8,2,9,11,1,0,0,1,3,21,18.0,2024-10-23
64,Buddy Hield,GSW,POR,W,14.73,8,12,0.667,5,7,0.714,1,1,1.0,1,4,5,1,0,0,1,2,22,17.6,2024-10-23
65,Donovan Mitchell,CLE,TOR,W,27.67,7,14,0.5,2,5,0.4,5,7,0.714,0,2,2,3,3,1,2,2,21,16.8,2024-10-23
66,Jarrett Allen,CLE,TOR,W,26.08,5,7,0.714,0,0,0.0,4,5,0.8,2,5,7,1,1,4,1,1,14,16.7,2024-10-23
67,Tre Mann,CHO,HOU,W,28.95,8,16,0.5,4,8,0.5,4,4,1.0,3,3,6,1,0,1,3,2,24,16.6,2024-10-23
68,Jalen Duren,DET,IND,L,30.07,4,4,1.0,0,0,0.0,5,6,0.833,4,9,13,4,0,0,2,3,13,16.5,2024-10-23
69,Desmond Bane,MEM,UTA,W,27.08,8,20,0.4,4,10,0.4,4,4,1.0,0,4,4,4,1,1,1,4,24,16.3,2024-10-23
70,Ty Jerome,CLE,TOR,W,18.95,6,7,0.857,2,2,1.0,0,0,0.0,1,1,2,6,2,0,2,1,14,16.3,2024-10-23
71,Taurean Prince,MIL,PHI,W,30.38,6,7,0.857,4,5,0.8,0,0,0.0,0,5,5,3,0,0,0,2,16,16.3,2024-10-23
72,Jalen Green,HOU,CHO,L,35.45,9,23,0.391,5,15,0.333,5,5,1.0,0,2,2,0,0,0,0,0,28,16.1,2024-10-23
73,Gary Harris,ORL,MIA,W,21.77,6,9,0.667,6,9,0.667,0,0,0.0,1,2,3,1,0,2,1,1,18,16.1,2024-10-23
74,Trayce Jackson-Davis,GSW,POR,W,24.62,5,5,1.0,0,0,0.0,4,5,0.8,1,3,4,2,1,0,0,1,14,15.7,2024-10-23
75,Myles Turner,IND,DET,W,36.05,7,14,0.5,3,8,0.375,3,3,1.0,0,9,9,4,0,4,4,4,20,15.7,2024-10-23
76,Dyson Daniels,ATL,BRK,W,34.53,6,12,0.5,2,4,0.5,1,4,0.25,3,2,5,2,5,1,1,4,15,15.0,2024-10-23
77,Chris Boucher,TOR,CLE,L,19.98,5,9,0.556,4,5,0.8,4,6,0.667,1,1,2,1,1,1,1,1,18,14.9,2024-10-23
78,Tyus Jones,PHO,LAC,W,35.08,5,10,0.5,1,5,0.2,0,0,0.0,0,2,2,8,2,1,0,0,11,14.9,2024-10-23
79,James Harden,LAC,PHO,L,39.87,10,28,0.357,2,9,0.222,7,9,0.778,3,9,12,8,1,0,8,3,29,14.8,2024-10-23
80,T.J. McConnell,IND,DET,W,15.8,7,8,0.875,0,0,0.0,0,0,0.0,0,2,2,4,1,0,1,0,14,14.6,2024-10-23
81,Jalen Smith,CHI,NOP,L,17.3,5,8,0.625,1,3,0.333,4,4,1.0,3,2,5,0,1,0,0,2,15,14.3,2024-10-23
82,Andrew Wiggins,GSW,POR,W,23.07,8,15,0.533,4,7,0.571,0,0,0.0,2,2,4,2,0,0,1,2,20,14.3,2024-10-23
83,Terry Rozier,MIA,ORL,L,32.05,5,15,0.333,2,7,0.286,7,7,1.0,0,6,6,5,0,2,3,0,19,14.2,2024-10-23
84,Zach LaVine,CHI,NOP,L,36.77,10,17,0.588,5,8,0.625,2,3,0.667,1,4,5,3,0,0,7,4,27,14.1,2024-10-23
85,Dejounte Murray,NOP,CHI,W,29.98,4,15,0.267,0,3,0.0,6,7,0.857,0,8,8,10,1,0,1,0,14,14.1,2024-10-23
86,Kyle Lowry,PHI,MIL,L,24.2,4,7,0.571,3,5,0.6,2,4,0.5,0,4,4,6,0,0,0,1,13,13.9,2024-10-23
87,Jaden Ivey,DET,IND,L,30.6,5,13,0.385,0,2,0.0,7,9,0.778,4,1,5,4,1,0,1,3,17,13.8,2024-10-23
88,Jordan Clarkson,UTA,MEM,L,25.1,7,16,0.438,2,5,0.4,1,2,0.5,2,3,5,7,0,1,2,1,17,13.7,2024-10-23
89,Yves Missi,NOP,CHI,W,22.77,5,8,0.625,0,0,0.0,2,2,1.0,3,4,7,1,1,3,1,2,12,13.7,2024-10-23
90,Ivica Zubac,LAC,PHO,L,33.82,8,13,0.615,0,0,0.0,5,8,0.625,1,8,9,3,0,0,3,6,21,13.7,2024-10-23
91,Jay Huff,MEM,UTA,W,22.45,4,6,0.667,3,5,0.6,2,2,1.0,1,4,5,1,0,2,0,2,13,13.6,2024-10-23
92,Bennedict Mathurin,IND,DET,W,27.68,5,8,0.625,2,3,0.667,7,9,0.778,1,5,6,1,0,0,3,3,19,13.3,2024-10-23
93,Scoot Henderson,POR,GSW,L,27.9,7,18,0.389,0,5,0.0,8,9,0.889,1,3,4,4,0,0,2,3,22,13.0,2024-10-23
94,Kevin Durant,PHO,LAC,W,43.67,8,17,0.471,2,5,0.4,7,9,0.778,0,7,7,0,3,1,7,4,25,12.7,2024-10-23
95,Javonte Green,NOP,CHI,W,25.22,3,3,1.0,0,0,0.0,3,4,0.75,0,3,3,1,4,0,1,0,9,12.3,2024-10-23
96,Bobby Portis,MIL,PHI,W,25.85,7,10,0.7,1,1,1.0,1,1,1.0,1,2,3,3,2,1,4,4,16,12.3,2024-10-23
97,Deni Avdija,POR,GSW,L,27.48,4,10,0.4,0,3,0.0,7,8,0.875,2,5,7,2,2,2,4,2,15,12.1,2024-10-23
98,Taylor Hendricks,UTA,MEM,L,28.53,4,7,0.571,3,5,0.6,1,2,0.5,2,3,5,0,2,1,0,3,12,12.1,2024-10-23
99,Gradey Dick,TOR,CLE,L,29.27,5,13,0.385,2,6,0.333,4,4,1.0,1,1,2,1,0,2,0,0,16,12.0,2024-10-23
100,Jalen Suggs,ORL,MIA,W,12.53,3,4,0.75,1,2,0.5,4,4,1.0,0,2,2,4,1,0,1,3,11,11.6,2024-10-23
101,Jalen Wilson,BRK,ATL,L,33.97,3,7,0.429,2,5,0.4,8,8,1.0,1,3,4,1,0,0,1,5,16,11.6,2024-10-23
102,Wendell Carter,ORL,MIA,W,26.62,3,7,0.429,1,2,0.5,1,2,0.5,4,10,14,2,2,0,1,2,8,11.3,2024-10-23
103,Amir Coffey,LAC,PHO,L,25.82,4,4,1.0,2,2,1.0,1,2,0.5,0,3,3,1,1,0,0,2,11,11.2,2024-10-23
104,Tyler Herro,MIA,ORL,L,28.75,5,11,0.455,2,5,0.4,2,2,1.0,0,5,5,3,0,1,1,1,14,11.2,2024-10-23
105,Collin Sexton,UTA,MEM,L,24.98,5,8,0.625,0,0,0.0,6,8,0.75,0,2,2,3,1,1,4,2,16,11.2,2024-10-23
106,Tyrese Maxey,PHI,MIL,L,38.98,10,31,0.323,2,9,0.222,3,4,0.75,0,6,6,3,1,1,1,1,25,11.1,2024-10-23
107,Devin Booker,PHO,LAC,W,32.13,5,9,0.556,4,5,0.8,1,2,0.5,0,4,4,6,1,1,4,6,15,11.0,2024-10-23
108,Derrick Jones,LAC,PHO,L,29.0,5,6,0.833,2,2,1.0,0,0,0.0,2,2,4,1,2,0,2,4,12,10.9,2024-10-23
109,Toumani Camara,POR,GSW,L,29.88,3,8,0.375,2,4,0.5,3,4,0.75,4,2,6,4,2,0,2,4,11,10.8,2024-10-23
110,Gary Payton,GSW,POR,W,14.48,3,4,0.75,0,1,0.0,2,2,1.0,0,1,1,3,2,0,0,0,8,10.8,2024-10-23
111,Tim Hardaway,DET,IND,L,28.93,4,9,0.444,4,7,0.571,2,2,1.0,0,1,1,1,1,0,0,2,14,10.5,2024-10-23
112,Tyrese Haliburton,IND,DET,W,34.97,6,18,0.333,1,9,0.111,2,2,1.0,1,4,5,4,3,2,3,2,15,10.1,2024-10-23
113,Moses Moody,GSW,POR,W,14.88,5,11,0.455,3,8,0.375,2,2,1.0,0,2,2,2,0,0,0,3,15,10.1,2024-10-23
114,Anthony Black,ORL,MIA,W,27.9,4,9,0.444,1,2,0.5,1,3,0.333,4,2,6,4,0,0,0,2,10,9.9,2024-10-23
115,Cameron Johnson,BRK,ATL,L,32.02,4,10,0.4,1,6,0.167,5,6,0.833,0,4,4,0,1,1,0,3,14,9.9,2024-10-23
116,Norman Powell,LAC,PHO,L,39.6,5,16,0.313,1,7,0.143,6,6,1.0,1,3,4,4,0,1,3,0,17,9.9,2024-10-23
117,Daniel Theis,NOP,CHI,W,18.52,3,5,0.6,0,1,0.0,2,2,1.0,0,2,2,3,2,3,2,2,8,9.7,2024-10-23
118,Caleb Martin,PHI,MIL,L,37.45,5,10,0.5,0,1,0.0,2,2,1.0,4,5,9,3,0,1,3,4,12,9.5,2024-10-23
119,Kelly Oubre,PHI,MIL,L,30.42,8,18,0.444,1,6,0.167,4,6,0.667,1,1,2,1,0,0,1,5,21,9.5,2024-10-23
120,Immanuel Quickley,TOR,CLE,L,14.23,4,9,0.444,2,4,0.5,3,4,0.75,0,2,2,4,1,0,2,2,13,9.5,2024-10-23
121,Jerami Grant,POR,GSW,L,33.17,6,18,0.333,2,8,0.25,2,2,1.0,0,2,2,3,1,1,0,2,16,9.4,2024-10-23
122,Jordan Hawkins,NOP,CHI,W,27.9,4,9,0.444,3,6,0.5,2,2,1.0,0,7,7,1,0,1,2,1,13,9.4,2024-10-23
123,Deandre Ayton,POR,GSW,L,30.95,5,12,0.417,0,2,0.0,0,0,0.0,2,9,11,2,2,0,1,2,10,9.3,2024-10-23
124,Nikola Jović,MIA,ORL,L,24.02,7,14,0.5,1,7,0.143,0,1,0.0,1,4,5,1,1,1,1,4,15,9.3,2024-10-23
125,Andre Drummond,PHI,MIL,L,25.05,4,8,0.5,0,1,0.0,2,2,1.0,5,8,13,0,0,0,1,5,10,8.9,2024-10-23
126,Scotty Pippen ,MEM,UTA,W,21.82,3,6,0.5,0,2,0.0,0,2,0.0,1,2,3,7,3,1,2,3,6,8.9,2024-10-23
127,Draymond Green,GSW,POR,W,20.43,3,3,1.0,1,1,1.0,1,2,0.5,0,6,6,3,1,2,3,3,8,8.8,2024-10-23
128,Haywood Highsmith,MIA,ORL,L,30.23,4,8,0.5,1,2,0.5,0,0,0.0,1,4,5,2,2,1,1,3,9,8.8,2024-10-23
129,Fred VanVleet,HOU,CHO,L,37.38,4,18,0.222,2,11,0.182,4,4,1.0,2,2,4,6,2,0,2,1,14,8.8,2024-10-23
130,De'Andre Hunter,ATL,BRK,W,25.78,3,10,0.3,2,4,0.5,4,5,0.8,1,5,6,1,2,0,0,5,12,8.7,2024-10-23
131,Brook Lopez,MIL,PHI,W,35.53,3,11,0.273,1,6,0.167,3,4,0.75,1,7,8,6,0,6,4,4,10,8.7,2024-10-23
132,De'Anthony Melton,GSW,POR,W,19.1,4,11,0.364,2,8,0.25,1,2,0.5,0,2,2,4,3,0,1,3,11,8.7,2024-10-23
133,Thomas Bryant,MIA,ORL,L,16.02,2,2,1.0,1,1,1.0,2,2,1.0,0,3,3,2,0,1,1,0,7,8.4,2024-10-23
134,Jaime Jaquez,MIA,ORL,L,19.18,4,9,0.444,2,2,1.0,3,5,0.6,2,3,5,3,0,0,2,4,13,8.3,2024-10-23
135,Jamal Shead,TOR,CLE,L,18.72,3,7,0.429,1,4,0.25,3,3,1.0,0,1,1,4,1,1,2,2,10,8.3,2024-10-23
136,Cody Martin,CHO,HOU,W,23.52,2,6,0.333,1,4,0.25,3,4,0.75,3,5,8,1,0,1,0,3,8,8.0,2024-10-23
137,Georges Niang,CLE,TOR,W,18.55,4,5,0.8,3,4,0.75,0,0,0.0,0,1,1,0,0,0,1,1,11,8.0,2024-10-23
138,Jusuf Nurkić,PHO,LAC,W,22.32,2,5,0.4,1,4,0.25,6,8,0.75,0,9,9,2,2,0,4,4,11,8.0,2024-10-23
139,Bam Adebayo,MIA,ORL,L,25.52,1,5,0.2,0,2,0.0,7,10,0.7,3,2,5,1,0,0,0,1,9,7.7,2024-10-23
140,Josh Giddey,CHI,NOP,L,30.48,5,11,0.455,0,1,0.0,4,7,0.571,1,4,5,3,0,0,3,1,14,7.7,2024-10-23
141,Clint Capela,ATL,BRK,W,19.52,3,5,0.6,0,0,0.0,0,0,0.0,1,6,7,1,1,1,1,0,6,7.6,2024-10-23
142,Mason Plumlee,PHO,LAC,W,14.22,2,2,1.0,0,0,0.0,4,6,0.667,1,1,2,1,0,1,1,1,8,7.6,2024-10-23
143,Amen Thompson,HOU,CHO,L,21.83,5,11,0.455,1,2,0.5,2,4,0.5,1,3,4,0,0,1,0,3,13,7.6,2024-10-23
144,Ochai Agbaji,TOR,CLE,L,25.25,1,1,1.0,0,0,0.0,1,2,0.5,4,2,6,1,1,1,0,2,3,7.3,2024-10-23
145,Kyle Anderson,GSW,POR,W,14.85,1,2,0.5,0,1,0.0,0,0,0.0,3,2,5,3,2,1,1,1,2,7.1,2024-10-23
146,Aaron Nesmith,IND,DET,W,18.75,2,4,0.5,1,2,0.5,2,2,1.0,1,1,2,0,2,1,0,4,7,7.1,2024-10-23
147,Kris Dunn,LAC,PHO,L,20.25,2,4,0.5,1,2,0.5,0,0,0.0,2,2,4,2,2,0,1,1,5,7.0,2024-10-23
148,Jalen Johnson,ATL,BRK,W,36.85,4,9,0.444,0,3,0.0,3,8,0.375,1,9,10,4,3,1,6,3,11,7.0,2024-10-23
149,Noah Clowney,BRK,ATL,L,14.6,2,6,0.333,1,3,0.333,2,2,1.0,3,3,6,0,1,1,1,1,7,6.9,2024-10-23
150,Pat Connaughton,MIL,PHI,W,20.9,4,9,0.444,1,5,0.2,0,0,0.0,1,3,4,1,0,1,0,1,9,6.9,2024-10-23
151,Andrew Nembhard,IND,DET,W,34.82,3,8,0.375,0,2,0.0,2,2,1.0,0,2,2,7,1,0,2,3,8,6.9,2024-10-23
152,Guerschon Yabusele,PHI,MIL,L,25.52,4,8,0.5,1,4,0.25,1,3,0.333,2,2,4,3,3,0,3,6,10,6.9,2024-10-23
153,Moritz Wagner,ORL,MIA,W,16.03,2,4,0.5,1,3,0.333,2,2,1.0,1,5,6,2,0,0,1,2,7,6.8,2024-10-23
154,Gary Trent,MIL,PHI,W,34.45,3,6,0.5,2,5,0.4,3,3,1.0,0,2,2,0,0,0,0,5,11,6.6,2024-10-23
155,Dean Wade,CLE,TOR,W,19.7,2,5,0.4,1,3,0.333,0,0,0.0,1,7,8,1,2,0,0,3,5,6.6,2024-10-23
156,Lindy Waters,GSW,POR,W,5.12,3,3,1.0,2,2,1.0,0,0,0.0,0,1,1,0,0,0,0,2,8,6.6,2024-10-23
157,John Konchar,MEM,UTA,W,15.23,1,1,1.0,1,1,1.0,2,2,1.0,1,4,5,1,0,0,0,2,5,6.5,2024-10-23
158,Terance Mann,LAC,PHO,L,27.1,4,6,0.667,0,1,0.0,0,3,0.0,1,4,5,4,1,0,1,6,8,6.5,2024-10-23
159,Coby White,CHI,NOP,L,34.78,4,13,0.308,0,5,0.0,2,2,1.0,0,8,8,6,1,1,4,1,10,6.4,2024-10-23
160,Malik Beasley,DET,IND,L,27.83,5,13,0.385,2,6,0.333,2,3,0.667,0,3,3,1,0,0,1,2,14,6.3,2024-10-23
161,Jeremiah Robinson-Earl,NOP,CHI,W,6.72,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,1,1,0,0,1,6,6.3,2024-10-23
162,Grayson Allen,PHO,LAC,W,21.38,2,7,0.286,2,6,0.333,2,2,1.0,0,1,1,3,1,1,1,2,8,6.2,2024-10-23
163,Nic Claxton,BRK,ATL,L,15.42,3,4,0.75,0,0,0.0,1,4,0.25,0,5,5,0,1,1,0,3,7,6.2,2024-10-23
164,Jock Landale,HOU,CHO,L,10.47,2,4,0.5,1,1,1.0,0,0,0.0,3,0,3,2,0,0,0,1,5,6.1,2024-10-23
165,Anfernee Simons,POR,GSW,L,32.62,5,12,0.417,2,7,0.286,3,3,1.0,0,2,2,3,1,0,5,3,15,6.1,2024-10-23
166,Jabari Smith,HOU,CHO,L,33.13,2,7,0.286,2,5,0.4,2,3,0.667,1,4,5,1,0,1,0,2,8,6.0,2024-10-23
167,Ayo Dosunmu,CHI,NOP,L,24.97,4,6,0.667,0,2,0.0,0,0,0.0,0,4,4,3,0,0,2,2,8,5.9,2024-10-23
168,Dorian Finney-Smith,BRK,ATL,L,29.55,3,10,0.3,2,7,0.286,0,0,0.0,3,5,8,1,1,2,1,5,8,5.9,2024-10-23
169,Nick Richards,CHO,HOU,W,23.92,3,4,0.75,0,0,0.0,0,2,0.0,2,6,8,1,0,2,1,5,6,5.9,2024-10-23
170,Rayan Rupert,POR,GSW,L,16.95,3,4,0.75,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,2,6,5.9,2024-10-23
171,Ziaire Williams,BRK,ATL,L,15.85,3,6,0.5,2,3,0.667,1,2,0.5,1,2,3,1,0,0,1,2,9,5.8,2024-10-23
172,Miles Bridges,CHO,HOU,W,32.28,5,11,0.455,0,3,0.0,0,0,0.0,0,9,9,2,1,1,4,1,10,5.7,2024-10-23
173,Jamison Battle,TOR,CLE,L,16.37,2,4,0.5,2,4,0.5,0,0,0.0,0,2,2,1,0,1,0,1,6,5.6,2024-10-23
174,Jonathan Mogbo,TOR,CLE,L,11.22,2,4,0.5,1,2,0.5,2,2,1.0,0,0,0,0,1,0,0,1,7,5.6,2024-10-23
175,Tobias Harris,DET,IND,L,35.78,6,13,0.462,1,6,0.167,0,0,0.0,1,1,2,1,0,1,2,3,13,5.5,2024-10-23
176,Brandon Miller,CHO,HOU,W,10.73,2,4,0.5,1,2,0.5,1,1,1.0,1,0,1,1,1,0,1,0,6,5.4,2024-10-23
177,Grant Williams,CHO,HOU,W,24.82,3,6,0.5,2,4,0.5,0,0,0.0,1,3,4,1,1,1,2,4,8,5.4,2024-10-23
